,Series,Country,Country Code,Time,Value,YoY Change
0,"Industrial Production, billions of constant US$",China,CHN,1987,,
17,"Industrial Production, billions of constant US$",China,CHN,1988,,
34,"Industrial Production, billions of constant US$",China,CHN,1989,,
51,"Industrial Production, billions of constant US$",China,CHN,1990,,
68,"Industrial Production, billions of constant US$",China,CHN,1991,3644.11339342484,
85,"Industrial Production, billions of constant US$",China,CHN,1992,2766.86047428223,-24.07315098167522
102,"Industrial Production, billions of constant US$",China,CHN,1993,4202.575175687491,51.88966754016424
119,"Industrial Production, billions of constant US$",China,CHN,1994,3169.21698751031,-24.588690147776727
136,"Industrial Production, billions of constant US$",China,CHN,1995,2135.85879933313,-32.606104039249495
153,"Industrial Production, billions of constant US$",China,CHN,1996,1102.5006111559599,-48.381390590979656
170,"Industrial Production, billions of constant US$",China,CHN,1997,554.285767689309,-49.724674791051015
187,"Industrial Production, billions of constant US$",China,CHN,1998,603.640715299792,8.904242267708318
204,"Industrial Production, billions of constant US$",China,CHN,1999,657.0519070938781,8.848175817225968
221,"Industrial Production, billions of constant US$",China,CHN,2000,732.486118778937,11.48070812528379
238,"Industrial Production, billions of constant US$",China,CHN,2001,802.9454662741059,9.619205837323651
255,"Industrial Production, billions of constant US$",China,CHN,2002,905.2105402207011,12.736241530963998
272,"Industrial Production, billions of constant US$",China,CHN,2003,1056.44879761932,16.707522800358166
289,"Industrial Production, billions of constant US$",China,CHN,2004,1230.5809743953998,16.482784321254584
306,"Industrial Production, billions of constant US$",China,CHN,2005,1431.61559421272,16.336561672919657
323,"Industrial Production, billions of constant US$",China,CHN,2006,1666.77038569211,16.425833333333273
340,"Industrial Production, billions of constant US$",China,CHN,2007,1967.5528220362,18.045823163530294
357,"Industrial Production, billions of constant US$",China,CHN,2008,2222.09407468722,12.936946332530885
374,"Industrial Production, billions of constant US$",China,CHN,2009,2465.0988916748797,10.935847395293763
391,"Industrial Production, billions of constant US$",China,CHN,2010,2850.63297119636,15.639700331029482
408,"Industrial Production, billions of constant US$",China,CHN,2011,3242.06053491402,13.731250837016207
425,"Industrial Production, billions of constant US$",China,CHN,2012,3567.88431402688,10.049898069577567
442,"Industrial Production, billions of constant US$",China,CHN,2013,3913.32122678046,9.681841740090057
459,"Industrial Production, billions of constant US$",China,CHN,2014,4238.16673523728,8.301018230595748
476,"Industrial Production, billions of constant US$",China,CHN,2015,4497.86180402747,6.12753308242957
493,"Industrial Production, billions of constant US$",China,CHN,2016,4769.8449066679805,6.046942180326043
510,"Industrial Production, billions of constant US$",China,CHN,2017,5082.271149845,6.550029388592171
539,"Industrial Production, billions of constant US$",Indonesia,IDN,1987,,
556,"Industrial Production, billions of constant US$",Indonesia,IDN,1988,,
573,"Industrial Production, billions of constant US$",Indonesia,IDN,1989,,
590,"Industrial Production, billions of constant US$",Indonesia,IDN,1990,,
607,"Industrial Production, billions of constant US$",Indonesia,IDN,1991,212.90994489675901,
624,"Industrial Production, billions of constant US$",Indonesia,IDN,1992,198.543702012762,-6.747567799598686
641,"Industrial Production, billions of constant US$",Indonesia,IDN,1993,198.7039487543,0.08071106759544033
658,"Industrial Production, billions of constant US$",Indonesia,IDN,1994,242.095284369659,21.837178318490768
675,"Industrial Production, billions of constant US$",Indonesia,IDN,1995,265.155030193119,9.525070215019028
692,"Industrial Production, billions of constant US$",Indonesia,IDN,1996,266.735075616914,0.5958949459281326
709,"Industrial Production, billions of constant US$",Indonesia,IDN,1997,281.17563185343,5.4138197622181305
726,"Industrial Production, billions of constant US$",Indonesia,IDN,1998,229.898002500259,-18.23686818632305
743,"Industrial Production, billions of constant US$",Indonesia,IDN,1999,234.300950947518,1.9151747293907118
760,"Industrial Production, billions of constant US$",Indonesia,IDN,2000,248.504639704276,6.062155829636184
777,"Industrial Production, billions of constant US$",Indonesia,IDN,2001,259.116302797417,4.270207230645284
794,"Industrial Production, billions of constant US$",Indonesia,IDN,2002,267.576651839111,3.265077862857768
811,"Industrial Production, billions of constant US$",Indonesia,IDN,2003,282.198342030736,5.464486565298965
828,"Industrial Production, billions of constant US$",Indonesia,IDN,2004,291.57829422913704,3.3238863598211488
845,"Industrial Production, billions of constant US$",Indonesia,IDN,2005,295.343093819167,1.2911796469566417
862,"Industrial Production, billions of constant US$",Indonesia,IDN,2006,290.541650670669,-1.6257170893719364
879,"Industrial Production, billions of constant US$",Indonesia,IDN,2007,306.740599609856,5.575430889786137
896,"Industrial Production, billions of constant US$",Indonesia,IDN,2008,315.97007129170504,3.0088849319548805
